state(s),date,time,dead,inj,yards,miles,F,counties
IA-WI,09031941,1730,0,1,30,5,F2,CLAYTON. IA /GRANT. WI
IA,09071941,1630,0,6,600,30,F2,JASPER /POWESHIEK
IA,10041941,2345,0,0,,,F2,WORTH
IA,10061941,1415,0,1,30,2,F2,BOONE
IA,10061941,2000,0,0,,,F2,MONONA
IA,10061941,2100,0,0,200,17,F2,TAYLOR
IA,10061941,2145,0,0,100,4,F2,MADISON
IA,10061941,2200,0,0,,22,F2,RINGGOLD /UNION
IA,05301942,1700,0,0,,,F2,LYON
IA-MN,05301942,1745,0,0,600,20,F3,DICKINSON. IA /JACKSON. MN
IA,06031942,0300,0,0,50,1,F2,CHEROKEE
IA,06281942,1745,0,0,800,»45,F2,GUTHRIE /DALLAS /BOONE
IA,07051942,1830,0,0,50,7,F2,HANCOCK /WRIGHT
IA,03151943,1610,0,1,200,slO,F2,DALIAS /POLK
IA,03151943,1730,0,0,100,12,F2,DECATUR /LUCAS
IA,03151943,1915,0,7,200,0.5,F2,BUCHANAN
IA,03151943,2100,0,0,,,F2,JACKSON
IA,05051943,1500,0,0,100,6,F2,CASS
IA,05051943,1500,0,1,100,3,F2,POTTAWATTAMIE /CASS
IA,05051943,1530,0,2,,slO,F2,MILLS
IA,05051943,1600,0,0,,s28,F2,STORY /MARSHALL /GRUNDY
IA,05051943,1830,0,0,,,F2,CLAYTON
IA,05051943,1930,0,2,,sl5,F2,MARSHALL
IA,05151943,1730,0,0,400,12,F2,ADAMS /UNION
IA,05151943,1745,0,0,30,15,F2,ADAIR
IA,05151943,1800,0,0,,5,F2,DALLAS
IA,05151943,1820,0,0,,s5,F2,POLK
IA,05151943,1840,0,0,50,3,F2,JOHNSON
IA,05151943,2000,0,0,300,s7,F2,JOHNSON
IA,06111943,1630,0,0,100,9,F2,WINNEBAGO
IA,06141943,2130,0,0,,s25,F2,EMMET /KOSSUTH
IA,07041943,1930,0,0,75,,F2,POCAHONTAS
IA,05181944,1600,0,4,200,9,F2,WOODBURY /CHEROKEE
IA,05181944,1615,0,0,100,,F2,IDA
IA,05181944,1615,0,0,800,18,F3,CRAWFORD /SAC
IA,05181944,1730,0,0,,12,F2,POCAHONTAS
IA,05181944,1900,0,4,,35,F2,GREENE /WEBSTER /HAMILTON
IA,05181944,1900,0,0,200,5,F3,GREENE
IA,05181944,2230,2,12,800,15,F3,POLK /STORY
IA,05181944,2300,0,0,,,F2,MARSHALL
IA,05191944,1630,0,0,200,12,F3,BUENA VISTA /POCAHONTAS
IA,05191944,1930,0,0,400,,F2,POCAHONTAS
IA,05191944,1930,1,9,400,8,F4,WEBSTER
IA,05191944,2000,0,0,,,F2,WEBSTER
IA,05191944,2030,0,0,,,F2,HAMILTON
IA,06041944,1830,0,0,400,5,F2,SHELBY
IA,06111944,1450,0,0,100,2,F3,MILLS
IA,06111944,1830,0,0,300,2,F2,PLYMOUTH
IA,06161944,1900,0,1,,8,F4,SIOUX
IA,06161944,2000,0,0,,5,F3,SIOUX
IA,06161944,2100,0,0,,8,F2,SIOUX
IA,06161944,2130,0,2,,10,F4,SIOUX /O’BRIEN
IA,07141944,1830,0,1,200,20,F2,KOSSUTH /HANCOCK
IA,08151944,1230,0,0,100,5,F2,CHICKASAW
IA,08171944,0030,0,0,200,2,F2,JACKSON
IA,03161945,2230,0,2,200,2,F2,HANCOCK
IA,03161945,2300,0,2,400,6,F2,HANCOCK
IA,03241945,1615,0,0,150,10,F2,BUTLER /BREMER
IA,05211945,1115,0,1,,9,F3,MONTGOMERY
IA,05211945,1210,0,0,100,817,F2,BLACK HAWK /BREMER
IA,05211945,1230,0,0,,17,F2,CASS /ADAIR /GUTHRIE
IA,05211945,1230,0,0,,,F2,FREMONT
IA,05211945,1330,0,6,500,10,F2,MADISON /DALLAS
IA,05311945,2350,0,2,200,7,F2,GREENE /BOONE
IA-IL,06271945,2000,0,0,,7,F2,SCOTT. IA /ROCK ISLAND. IL
IA,05301946,1410,0,20,400,2,F2,UNION
IA,06161946,1800,0,0,,5,F2,KOSSUTH
IA,06041947,1650,0,1,200,20,F2,MADISON
IA,06221947,2030,0,0,50,s9,F2,KOSSUTH
IA,04231948,1525,5,25,100,8,F4,CHICKASAW
IA,05161949,1800,0,0,50,,F2,GUTHRIE
IA,05211949,1600,0,0,400,0.5,F2,VAN BUREN
IA,05211949,1730,0,0,,4,F2,LEE
IA,06011949,1815,0,4,150,10,F4,PAGE
IA,06011949,1815,0,0,100,5,F2,PAGE
IA,06151950,2000,0,4,300,9,F3,STORY
IA,07011950,2000,0,0,,sI4,F2,BUCHANAN
IA,05011951,1630,0,0,,10,F2,BUTLER
IA,06011951,2115,0,7,800,1.5,F3,MARSHALL
IA,06251951,1607,1,8,500,3,F3,HANCOCK
IA,06021952,1730,1,2,100,3,F2,GRUNDY
IA,06231952,1830,0,4,400,20,F4,CHEROKEE
IA,03211953,1245,0,2,,5,F2,MONONA /WOODBURY
IA,03211953,1500,0,0,400,7,F2,EMMET
IA,03211953,1700,0,0,100,10,F2,TAMA
IA,05101953,1515,0,0,200,8,F4,WAYNE /LUCAS
IA,05101953,1610,0,3,800,28,F4,HANCOCK /CERRO GORDO /WORTH
IA,05101953,1630,0,0,,10,F2,TAMA
IA-MN,05101953,1715,1,5,400,40,F3,HOWARD. IA /FILLMORE /OLMSTED. MN
IA,05101953,1800,0,1,400,6,F2,CLAYTON
IA,05201953,2100,0,0,125,s20,F2,BUTLER /FLOYD
IA,05201953,2115,0,0,,s30,F2,CHICKASAW /HOWARD
IA,05201953,2210,0,7,400,32,F2,LINN /JONES
IA,05201953,2230,0,0,,15,F2,TAMA /BENTON
IA,06071953,1815,0,0,200,10,F2,PLYMOUTH
IA,06071953,1930,0,0,75,s35,F2,POCAHONTAS /PALO ALTO /KOSSUTH
IA,06071953,2100,0,0,200,s46,F2,WEBSTER /HAMILTON /WRIGHT
IA,06071953,2215,0,0,200,15,F2,MADISON /WARREN
IA,06271953,1545,1,2,200,10,F5,CASS /ADAIR
IA,06271953,1645,0,0,100,5,F2,MONTGOMERY
IA,06271953,1715,0,2,100,3,F2,WARREN
IA,06271953,2000,0,1,100,all,F2,MAHASKA
IA,04051954,1710,0,1,800,7,F3,GREENE
IA,04051954,1815,0,0,200,5,F2,TAYLOR
IA,04301954,1515,1,9,,sl8,F1,LEE /HENRY
IA,04301954,1900,0,0,100,20,F2,CEDAR
IA,04301954,1900,0,7,200,20,F4,LINN /DELAWARE
IA,04301954,1905,0,0,500,16,F2,JONES /DELAWARE /DUBUQUE
IA,04301954,1930,0,0,200,10,F2,BUCHANAN /FAYETTE
IA,04301954,2000,0,0,200,5,F2,DELAWARE
IA,04301954,2030,0,0,200,s20,F2,DELAWARE /CLAYTON
IA,06091954,2200,1,0,400,10,F4,CALHOUN
IA,06191954,2100,0,0,800,3,F2,LYON
IA,04191955,1730,0,0,50,6,F2,JACKSON
IA,04231955,1600,0,0,400,5,F3,RINGGOLD
IA,05061955,1615,0,0,200,s20,F2,SHELBY
IA,04261956,2230,0,0,400,3,F2,BENTON
IA,08121956,1530,0,8,200,5,F2,MAHASKA /POWESHIEK
IA,05211957,1700,0,0,100,5,F2,CEDAR
IA,06161957,0630,0,0,100,s8,F2,BUENA VISTA
IA,07141958,1755,0,1,100,13,F3,ADAMS
IA,05041959,2230,0,0,150,15,F2,GREENE
IA,05091959,1815,0,1,200,5,F2,KEOKUK
IA,05091959,1900,0,1,250,20,F2,VAN BUREN /JEFFERSON /HENRY
IA,05091959,1910,0,0,200,2,F2,TAMA
IA,05101959,1300,0,1,400,f40,F4,GUTHRIE /DALLAS /GREENE /BOONE
IA,05101959,1345,0,,,8,F2,ADAIR
IA,05101959,1753,0,0,50,s3,F2,POLK
IA,05181959,1245,0,0,200,1,F2,ADAMS
IA,05201959,1900,0,5,400,15,F4,WAYNE /LUCAS
IA,05311959,0200,0,0,400,15,F2,STORY
IA,07081959,1500,0,0,200,1,F2,FLOYD
IA,04161960,1430,1,5,800,s35,F1,GRUNDY /BLACK HAWK /BUCHANAN
IA,05051960,1900,0,0,150,sl5,F2,CARROLL /GREENE
IA,06161960,1230,0,0,150,2,F2,WARREN
IA,07111960,1725,0,0,300,1,F2,DICKINSON
IA,11151960,1520,0,0,70,9,F2,DELAWARE
IA,04231961,0825,0,2,600,s50,F2,DECATUR /WAYNE /APPANOOSE /DAVIS
IA,04231961,1015,0,6,,13,F2,MARSHALL
IA,06071961,1400,0,1,200,4,F2,CEDAR
IA,09011961,1800,0,7,300,29,F4,BUTLER /BREMER
IA,05071962,1715,0,0,150,,F2,STORY
IA,05071962,1905,0,0,300,2,F3,SCOTT
IA,05281962,2100,0,0,200,,F2,MARION
IA,04181963,1700,0,0,200,13,F2,CASS
IA,05031963,1940,0,0,200,2,F2,HAMILTON
IA,05091963,2000,0,0,400,12,F2,HANCOCK /WINNEBAGO
IA,06091963,1645,0,2,,2,F2,PLYMOUTH
IA,04121964,1645,1,28,400,11,F4,PAGE
IA,04121964,1650,0,0,150,2,F2,MONTGOMERY
IA,04121964,1730,0,0,200,8,F2,UNION
IA,04201964,2140,0,1,300,3,F2,FREMONT
IA,04201964,2200,0,1,350,12,F2,MONTGOMERY
IA,04201964,2230,0,1,350,8,F3,CASS
IA,04261964,1910,0,1,300,12,F2,UNION
IA,05041964,1730,0,1,200,10,F2,LINN
IA-WI,05041964,1810,0,3,200,21,F2,ALLAMAKEE IA /CRAWFORD. WI
IA,05041964,1815,0,2,200,5,F2,DELAWARE
IA,05041964,1900,0,1,200,5,F2,JONES
IA,05051964,1800,0,7,300,f60,F2,WOODBURY /PLYMOUTH /CHEROKEE /O’BRIEN
IA,05071964,1710,0,1,200,3,F3,BUCHANAN
IA,05071964,1730,0,27,200,8,F2,BLACK HAWK
IA,05071964,1830,0,0,200,2,F2,GUTHRIE
IA,05081964,1145,0,0,200,10,F2,PLYMOUTH
IA,05081964,1235,0,0,200,5,F2,OSCEOLA /DICKINSON
IA,06141964,1430,0,0,200,7,F2,APPANOOSE /DAVIS
IA,06191964,1910,0,2,350,9,F3,PAGE
IA,06191964,2021,0,1,350,10,F2,PAGE /TAYLOR
IA,06221964,1830,0,0,200,10,F2,DALLAS
IA,06221964,1900,0,0,400,7,F3,FREMONT
IA,06221964,1900,0,0,400,10,F4,CLARKE
IA,06221964,1900,0,0,400,30,F4,FREMONT /PAGE
IA,08201964,2207,0,0,50,10,F2,VAN BUREN
IA,08291964,1630,0,2,100,15,F4,KOSSUTH
IA,08291964,1638,0,0,70,2,F2,WEBSTER
IA,08291964,1755,0,0,150,10,F2,WORTH
IA,09071964,1730,0,0,200,7,F2,PLYMOUTH /CHEROKEE
IA,09221964,1510,0,0,300,10,F2,PAGE
IA,04111965,1255,1,3,300,40,F4,CEDAR /CLINTON /JACKSON
IA,05051965,1615,0,0,200,8,F4,CALHOUN /WEBSTER
IA-MN,05051965,1945,0,17,150,f80,F4,FLOYD /MITCHELL /HOWARD /WINNESHIEK. IA /FILLMORE HOUSTON. MN
IA,05261965,0430,0,14,,20,F2,BENTON /LINN
IA,06071965,1900,0,0,100,10,F2,PLYMOUTH
IA,08251965,1800,0,1,100,3,F2,DES MOINES
IA,08251965,1900,0,1,150,15,F2,WINNESHIEK
IA,08261965,1850,0,2,100,8,F2,STORY /JASPER
IA,08261965,2045,1,17,200,14,F4,BLACK HAWK /BENTON
IA,09091965,1300,0,0,100,915,F2,MONONA
IA,09091965,1345,0,0,50,1,F2,HOWARD
IA,09161965,2300,0,0,100,0.5,F2,STORY
IA,09201965,1915,0,4,100,1,F3,KEOKUK
IA,09201965,2000,0,0,100,8,F2,DAVIS
IA,04191966,1800,0,0,200,3,F2,GRUNDY
IA,04191966,1800,0,4,400,30,F3,POWESHIEK /TAMA /BENTON
IA,04191966,1930,0,2,100,2,F2,SCOTT
IA,05231966,1530,0,0,300,5,F2,MUSCATINE /CEDAR
IA,05231966,1600,0,0,100,4,F2,DES MOINES
IA,10141966,1220,0,0,100,1.5,F2,TAYLOR
IA,10141966,1355,6,172,1000,12,F4,WRIGHT
IA,10141966,1432,0,0,50,8,F2,JASPER
IA,01241967,1515,0,0,200,»25,F2,VAN BUREN /JEFFERSON
IA,01241967,1615,1,6,300,10,F3,LEE
IA,01241967,1620,0,4,200,3,F2,LEE
IA,01241967,1620,0,1,150,2,F2,LOUISA
IA,01241967,1630,0,0,100,2,F2,MUSCATINE
IA,01241967,1711,0,0,250,2,F2,SCOTT
IA,01241967,1715,0,0,200,,F2,CLINTON
IA,03301967,2240,0,0,100,,F2,CHICKASAW /HOWARD
IA,04161967,1900,2,16,500,14,F2,VAN BUREN
IA,04211967,1500,0,0,100,s30,P2,VAN BUREN /HENRY
IA,04301967,1600,0,0,300,7,F2,EMMET
IA,04301967,1610,0,0,300,6,F2,HANCOCK /WINNEBAGO
IA,04301967,1610,0,0,300,10,F2,PALO ALTO /EMMET
IA,04301967,1705,0,0,250,7,F2,CERRO GORDO
IA-MN,04301967,1820,0,1,400,18,F4,WORTH. IA /FREEBORN. MN
IA-MN,04301967,1828,0,0,400,6,F3,WORTH. IA /FREEBORN. MN
IA,06071967,2042,0,0,100,1,F2,STORY
IA,06081967,2130,0,5,100,10,F4,WEBSTER
IA,04161968,1800,0,0,200,2,F2,FREMONT
IA,05151968,1510,13,450,400,f65,F5,FRANKLIN /BUTLER /FLOYD /CHICKASAW /HOWARD
IA,05151968,1557,5,156,500,15,F5,FAYETTE
IA,05151968,1645,0,1,250,2,F2,AUDUBON
IA,05151968,1715,0,0,250,6,F2,HOWARD
IA,06131968,1750,0,0,200,s!2,F2,OSCEOLA
IA,06131968,1830,0,17,200,312,F3,DICKINSON
IA,09221968,1600,0,0,50,5,F2,SIOUX
IA,06291969,1845,0,0,200,15,F2,POWESHIEK
IA,07261969,1347,0,0,200,s!5,F2,IDA
IA,07261969,1515,0,0,,14,F2,CRAWFORD
IA,05121970,1930,0,0,400,312,F2,POTTAWATTAMIE /CASS
IA,07141970,1602,0,0,100,1,F2,PLYMOUTH
IA,07141970,1830,0,0,250,3,F2,HARDIN
IA,09091970,1442,0,0,200,3,F2,BUTLER /FLOYD
IA,09091970,1500,0,0,150,3,F2,BREMER
IA,05051971,1720,0,12,400,2,F3,TAYLOR
IA,05181971,1508,0,0,300,4,F2,BENTON
IA,05181971,1512,0,0,200,5,F2,BENTON
IA,05311971,1405,0,0,200,8,F2,DICKINSON
IA,05311971,1820,0,1,200,3,F2,GRUNDY
IA,06061971,2345,0,1,200,3,F2,BUTLER
IA,07121971,1650,0,0,300,18,F3,WORTH /MITCHELL
IA,07121971,1715,0,8,400,30,F4,HOWARD /CHICKASAW /FAYETTE
IA,07121971,1830,0,0,100,6,F2,FAYETTE
IA,07121971,2045,0,2,400,3,F2,DELAWARE
IA,10011971,1355,0,2,500,10,F2,O’BRIEN /CLAY
IA,09281972,1350,0,3,100,s30,F2,LINN /JONES /DELAWARE /DUBUQUE
IA,04211973,1540,0,1,300,15,F2,IOWA /JOHNSON
IA,06041973,1435,0,0,250,4,F2,JASPER
IA,06041973,1530,0,0,100,1,F2,WINNESHIEK
IA,06181973,0340,2,10,400,2,F2,WOODBURY
IA,09211973,0825,0,0,150,3,F2,WEBSTER
IA,09261973,0240,0,0,100,1,F2,WRIGHT
IA,04281974,1845,0,16,100,4,F2,JOHNSON /CEDAR
IA,05131974,1630,0,0,20,15,F2,MONTGOMERY /CASS
IA,05131974,2200,0,0,100,5,F2,SCOTT
IA,05281974,1910,0,3,150,5,F2,WORTH
IA,06091974,1330,0,0,30,5,F2,KOSSUTH
IA,06181974,2135,2,50,400,19,F4,POLK
IA,06201974,1645,1,20,200,12,F3,CLINTON
IA,06221974,0225,0,1,100,3,F2,HAMILTON
IA,08121974,1510,0,12,400,7,F4,DELAWARE
IA,08121974,1815,0,2,100,2,F4,IOWA
IA,05071975,2000,0,0,,,F2,DECATUR
IA,05071975,2030,0,0,,10,F2,CLARKE
IA,05221975,1745,0,0,,,F2,WOODBURY
IA,11091975,1630,0,0,,30,F2,TAMA /BLACK HAWK /BREMER
IA,11091975,1645,0,0,300,3,F2,GRUNDY
IA,11091975,1815,0,0,,4,F2,BREMER
IA,11091975,1815,0,0,,,F2,WASHINGTON
IA,11091975,1835,0,0,,,F2,JOHNSON
IA,04141976,2015,0,0,70,7,F2,DALLAS
IA,06121976,1930,0,2,100,7,F2,BLACK HAWK
IA,06131976,1358,0,0,100,f22,F3,DALLAS /BOONE
IA,06131976,1425,0,9,800,17,F5,BOONE /STORY
IA,06131976,1440,0,0,300,5,F3,STORY
IA,06131976,1600,0,0,100,15,F2,BLACK HAWK
IA,06261976,1715,0,15,200,6,F4,POTTAWATTAMIE
IA,07281976,0123,0,0,100,1,F2,POLK
IA,08111976,1415,0,0,100,1,F2,CARROLL
IA,02231977,1410,0,1,15,0.1,F2,CERRO GORDO
IA,05041977,1358,0,0,20,4,F2,DAVIS
IA,05041977,1420,0,0,60,2,F3,LEE
IA,05041977,1500,0,1,30,3,F2,HENRY
IA,05041977,1820,0,4,70,1,F2,WEBSTER
IA,05041977,1832,0,14,70,2,F4,WEBSTER
IA,05041977,2100,0,0,30,s20,F2,TAMA
IA,07161977,2035,0,0,20,3,F2,BREMER
IA,06141978,2220,0,0,15,1,F2,KOSSUTH
IA,06261978,0041,0,1,100,0.7,F2,POWESHIEK
IA,07051978,1800,0,0,200,11,F2,SIOUX
IA,07061978,1905,0,0,200,14,F2,LYON
IA,09161978,1925,6,45,200,26,F3,MARSHALL /JASPER /POWESHIEK
IA,03291979,1810,0,1,500,28,F3,TAYLOR
IA,03291979,1905,0,4,500,f51,F3,UNION /MADISON /WARREN
IA,03291979,2040,0,0,60,9,F2,WARREN
IA,05081979,0415,0,4,30,,F3,WOODBURY
IA,06281979,1738,2,34,300,20,F3,KOSSUTH
IA,06281979,1802,3,26,350,20,F4,POCAHONTAS /CALHOUN
IA,06281979,1840,0,0,300,24,F3,KOSSUTH /HUMBOLDT /WRIGHT
IA,06281979,2001,0,10,350,10,F2,HAMILTON
IA,06281979,2040,0,0,40,12,F2,DALLAS
IA,07301979,0200,0,0,100,s26,F2,IDA /SAC /CRAWFORD
IA,08081979,0930,0,0,100,0.4,F2,SIOUX
IA,08281979,1725,2,14,500,45,F4,MILLS /FREMONT /PAGE
IA,05291980,1630,0,0,30,0.5,F2,CERRO GORDO
IA,06021980,0630,0,0,80,5,F2,WAYNE
IA,06021980,0705,0,5,80,20,F2,APPANOOSE /DAVIS
IA,06021980,1525,0,0,150,32,F4,DECATUR /WAYNE
IA,07191980,1735,0,0,80,26,F2,PALO ALTO /KOSSUTH
IA,07191980,1755,0,0,150,3.5,F2,O’BRIEN
IA,09201980,1630,0,0,300,1.5,F3,CLAY
IA,09201980,1810,0,0,60,13,F2,WINNEBAGO /WORTH
IA,04101981,1755,0,9,500,9,F2,MARSHALL
IA,04101981,1912,0,0,100,0.8,F2,BREMER
IA,05231981,1700,0,0,130,16,F2,RINGGOLD
IA,05231981,1755,0,0,50,4,F2,MITCHELL
IA,06141981,0425,0,0,1500,26,F2,OSCEOLA /DICKINSON
IA,05171982,1450,0,0,80,13,F2,HANCOCK /WINNEBAGO
IA,06061982,1500,0,1,70,2,F2,OSCEOLA
IA,09131982,1600,0,0,100,26,F2,WAPELLO /JEFFERSON
IA,05011983,1330,0,3,20,7,F2,FREMONT
IA,05061983,1700,0,0,20,15,F2,HARRISON
IA,05061983,1900,0,0,60,1,F2,POLK
IA,05271983,1810,0,0,,,F2,GUTHRIE
IA,09051983,1805,0,0,125,2.5,F2,WOODBURY
IA,04261984,1640,0,0,200,22,F2,SAC /CAIPIOUN /POCAHONTAS
IA,06071984,1543,0,8,150,23,F2,CASS
IA,06071984,1612,0,3,100,4,F2,BUENA VISTA
IA,06071984,1617,0,2,100,25,F2,POCAHONTAS /PALO ALTO
IA,06071984,1620,0,3,100,25,F3,PAGE /TAYLOR /ADAMS
IA,06071984,1630,0,0,75,2,F2,CLAY
IA,06071984,1700,0,0,100,8,F2,POCAHONTAS
IA,06071984,1715,0,0,150,22,F2,HUMBOLDT /KOSSUTH /HANCOCK
IA,06071984,1715,0,5,150,9,F3,KOSSUTH
IA,06071984,1729,0,1,150,21,F2,KOSSUTH /WINNEBAGO
IA,06071984,1745,0,0,125,818,F2,HANCOCK /WINNEBAGO
IA,06071984,1830,0,3,200,35,F2,WAYNE /LUCAS /MONROE
IA,06071984,1945,1,3,150,14,F2,RINGGOLD
IA,06071984,1945,2,51,250,30,F4,MAHASKA /KEOKUK
IA,06071984,2033,0,1,200,24,F2,KEOKUK /WASHINGTON /IOWA /JOHNSON
IA-WI,05301985,2122,2,27,500,34,F3,CLAYTON. IA /GRANT. WI
IA,09221985,2020,0,0,50,0.5,F2,WAYNE
IA-MN,04261986,1830,1,4,120,9,F3,LYON. IA /NOBLES. MN
IA,04261986,1842,0,0,70,10,F2,LYON
IA,06291986,2105,0,0,50,s6,F2,GUTHRIE
IA,06291986,2235,0,0,50,5,F2,POLK
IA,09281986,1634,0,0,250,20,F4,POLK /JASPER
IA,09281986,2045,0,2,25,0.2,F2,FLOYD
IA,03241988,1715,0,0,100,9,F2,FAYETTE /WINNESHIEK
IA,05071988,2210,0,0,70,7,F2,POTTAWATTAMIE
IA,05081988,1247,0,0,60,sf71,F2,DAVIS /WAPELLO /JEFFERSON /WASHINGTON /LOUISA
IA,05081988,1316,0,0,60,sf36,F2,KEOKUK /WASHINGTON /JOHNSON
IA,07151988,1514,0,42,100,2,F2,POTTAWATTAMIE
IA,07151988,1516,0,34,70,3,F3,POTTAWATTAMIE
IA,11151988,1908,0,0,65,6,F2,WAPELLO
IA,05241989,1711,0,0,300,f50,F4,ADAMS /UNION /RINGGOLD /DECATUR
IA,05241989,1720,0,3,150,f66,F4,STORY /MARSHALL /TAMA
IA,05301989,1850,0,3,200,11,F4,HARDIN /GRUNDY